address,category,protocol
0x4f60a160d8c2dddaafe16fcc57566db84d674bd6,Bridge,anyFRAX
0x1196f688c585d3e5c895ef8954ffb0dcdafc566a,Bridge,Escrow USDS
0x0f1b7bd7762662b23486320aa91f30312184f70c,Bridge,Kinto Network Engen
0xe61dd9ca7364225afbfb79e15ad33864424e6ae4,Bridge,Kucoin: Community Chain Bridge
0x28a92dde19d9989f39a49905d7c9c2fac7799bdf,Bridge,Layerzero
0x504a330327a089d8364c4ab3811ee26976d388ce,Bridge,Linea
0xbbc4a8d076f4b1888fec42581b6fc58d242cf2d5,Bridge,Multichain: anyMIM Token
0xcdd83050f045ab31b884f0dc49581bc7b3e0b84c,Bridge,Multichain: Velas Bridge
0x6a39909e805a3eadd2b61fff61147796ca6abb47,Bridge,Optics: Bridge
0x4fc16de11deac71e8b2db539d82d93be4b486892,Bridge,Optics: ERC-20 Bridge
0x80c67432656d59144ceff962e8faf8926599bcf8,Bridge,Orbiter Finance: Bridge
0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,Bridge,Orbiter Finance: Bridge 2
0x70e70e58ed7b1cec0d8ef7464072ed8a52d755eb,Bridge,Polygon
0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,Bridge,Rhino.fi
0x12ed69359919fc775bc2674860e8fe2d2b6a7b5d,Bridge,RSK
0xf1af3b23de0a5ca3cab7261cb0061c0d779a5c7b,Bridge,Scroll
0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec,Bridge,Secret Network
0x313416870a4da6f12505a550b67bb73c8e21d5d3,Bridge,Sora: HASHI
0xe3cbe3a636ab6a754e9e41b12b09d09ce9e53db3,Bridge,Starknet
0xdc687e1e0b85cb589b2da3c47c933de9db3d1ebb,Bridge,Starknet: StarkGate FRAX Bridge
0xf3f62f23df9c1d2c7c63d9ea6b90e8d24c7e3df5,Bridge,Starknet: StarkGate LUSD Bridge
0xc145990e84155416144c532e31f89b840ca8c2ce,Bridge,THORSwap: RouterV2
0x4103c267fba03a1df4fe84bc28092d629fa3f422,Bridge,Umbria: Narni Bridge
0xf301d525da003e874df574bcdd309a6bf0535bb6,Bridge,Voltage Finance
0x7d4958454a3f520bda8be764d06591b054b0bf33,Solana,sky
0x1e1d42781fc170ef9da004fb735f56f0276d01b8,Solana,sky
0x7f311a4d48377030bd810395f4ccfc03bdbe9ef3,Base,sky
0xa10c7ce4b876998858b1a9e12b10092229539400,Arbitrum,sky
0x1196f688c585d3e5c895ef8954ffb0dcdafc566a,Unichain,sky
0x467194771dae2967aef3ecbedd3bf9a310c76c65,Optimism,sky
0x26994d7c461a91ef5324f7058c10b18d9dd8d43a,CeFi,BlockFi
0xc131701ea649afc0bfcc085dc13304dc0153dc2e,CeFi,Celsius Network
0xc57ae759c085c0d23a9bbf8cd3e3d306a0acf7db,CeFi,Huobi
0x9281035df6f00557c0285d7df21d323c2e2f99ad,CeFi,Huobi
0x9c2ea4689aadc0d3b85f53eee250c0a197fbbe54,CeFi,Gemini
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,CeFi,Gemini
0x0548f59fee79f8832c299e01dca5c76f034f558e,CeFi,Genesis Trading: OTC Desk 2
0x0000006daea1723962647b7e189d311d757fb793,CeFi,Wintermute
0x7e4b4dc22111b84594d9b7707a8dcffd793d477a,CeFi,Defiance
0x10ab606b067c9c461d8893c47c7512472e19e2ce,Chronicle Farm,sky
0x0650caf159c5a49f711e8169d4336ecb9b950275,Sky Farm,sky
0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,SSR,sky
0x173e314c7635b45322cd8cb14f44b312e079f3af,Spark USDS Farm,spark
